name,sqftband,psfband_pred
bartley ridge,"(1.0, 1.5]","(1.0, 2.0]"
bartley ridge,"(1.5, 2.0]","(1.0, 2.0]"
bartley vue,"(0.0, 1.0]","(1.0, 2.0]"
bartley vue,"(1.0, 1.5]","(1.0, 2.0]"
bassein court,"(1.0, 1.5]","(2.0, 3.0]"
bayou residence,"(0.0, 1.0]","(1.0, 2.0]"
bayou residence,"(1.5, 2.0]","(1.0, 2.0]"
bayshore park,"(0.0, 1.0]","(1.0, 2.0]"
bayshore park,"(1.0, 1.5]","(1.0, 2.0]"
bayshore park,"(2.0, 2.5]","(1.0, 2.0]"
baywater,"(1.0, 1.5]","(1.0, 2.0]"
beach road,"(0.0, 1.0]","(2.0, 3.0]"
beach road,"(1.0, 1.5]","(2.0, 3.0]"
beacon heights,"(0.0, 1.0]","(1.0, 2.0]"
beacon heights,"(1.0, 1.5]","(1.0, 2.0]"
beacon heights,"(2.0, 2.5]","(0.0, 1.0]"
beaufort on nassim,"(1.5, 2.0]","(3.0, 4.0]"
beaufort on nassim,"(2.0, 2.5]","(3.0, 4.0]"
beaufort on nassim,"(3.0, 4.0]","(3.0, 4.0]"
beauty world centre,"(1.5, 2.0]","(1.0, 2.0]"
beaverton court,"(3.0, 4.0]","(1.0, 2.0]"
beaverton court,"(5.0, 15.0]","(2.0, 3.0]"
bedok court,"(2.0, 2.5]","(1.0, 2.0]"
bedok residences,"(0.0, 1.0]","(1.0, 2.0]"
bedok residences,"(1.0, 1.5]","(1.0, 2.0]"
bedok residences,"(1.5, 2.0]","(1.0, 2.0]"
bedok residences,"(2.5, 3.0]","(1.0, 2.0]"
bedok residences,"(3.0, 4.0]","(1.0, 2.0]"
belgravia drive,"(3.0, 4.0]","(0.0, 1.0]"
belgravia drive,"(4.0, 5.0]","(0.0, 1.0]"
bella casita,"(0.0, 1.0]","(1.0, 2.0]"
bella casita,"(1.0, 1.5]","(1.0, 2.0]"
belle vue residences,"(1.0, 1.5]","(2.0, 3.0]"
belle vue residences,"(1.5, 2.0]","(2.0, 3.0]"
belle vue residences,"(2.0, 2.5]","(2.0, 3.0]"
belle vue residences,"(3.0, 4.0]","(1.0, 2.0]"
bellerive,"(1.5, 2.0]","(2.0, 3.0]"
bellerive,"(2.0, 2.5]","(1.0, 2.0]"
bellewaters,"(0.0, 1.0]","(1.0, 2.0]"
bellewaters,"(1.0, 1.5]","(1.0, 2.0]"
bellewoods,"(1.0, 1.5]","(1.0, 2.0]"
bellewoods,"(1.5, 2.0]","(1.0, 2.0]"
belmond green,"(1.0, 1.5]","(3.0, 4.0]"
belmond green,"(1.5, 2.0]","(2.0, 3.0]"
bencoolen house,"(1.0, 1.5]","(1.0, 2.0]"
berkeley residences,"(0.0, 1.0]","(1.0, 2.0]"
beverly hill,"(3.0, 4.0]","(2.0, 3.0]"
beverly hill,"(5.0, 15.0]","(3.0, 4.0]"
bijou,"(0.0, 1.0]","(2.0, 3.0]"
bijou,"(1.0, 1.5]","(2.0, 3.0]"
binjai park,"(0.0, 1.0]","(1.0, 2.0]"
bishan 8,"(0.0, 1.0]","(1.0, 2.0]"
bishan 8,"(1.0, 1.5]","(1.0, 2.0]"
bishan 8,"(1.5, 2.0]","(1.0, 2.0]"
bishan loft,"(1.0, 1.5]","(1.0, 2.0]"
bishan park condominium,"(1.0, 1.5]","(1.0, 2.0]"
bishan park condominium,"(1.5, 2.0]","(1.0, 2.0]"
bishan point,"(0.0, 1.0]","(1.0, 2.0]"
bishan point,"(1.0, 1.5]","(1.0, 2.0]"
bishopsgate residences,"(2.0, 2.5]","(4.0, 5.0]"
bishopsgate residences,"(2.5, 3.0]","(4.0, 5.0]"
bishopsgate residences,"(4.0, 5.0]","(3.0, 4.0]"
bishopsgate residences,"(5.0, 15.0]","(4.0, 5.0]"
bleu @ east coast,"(2.5, 3.0]","(1.0, 2.0]"
bliss loft,"(0.0, 1.0]","(1.0, 2.0]"
bliss regalia,"(0.0, 1.0]","(1.0, 2.0]"
bliss residences,"(0.0, 1.0]","(1.0, 2.0]"
bliss residences,"(1.5, 2.0]","(1.0, 2.0]"
bliss@kovan,"(0.0, 1.0]","(1.0, 2.0]"
bliss@kovan,"(1.0, 1.5]","(1.0, 2.0]"
bliss@kovan,"(1.5, 2.0]","(1.0, 2.0]"
blossom residences,"(0.0, 1.0]","(1.0, 2.0]"
blossom residences,"(1.0, 1.5]","(1.0, 2.0]"
blossom view,"(1.0, 1.5]","(1.0, 2.0]"
blossoms @ woodleigh,"(1.0, 1.5]","(1.0, 2.0]"
blossoms @ woodleigh,"(2.5, 3.0]","(1.0, 2.0]"
blu coral,"(1.0, 1.5]","(1.0, 2.0]"
blue horizon,"(0.0, 1.0]","(1.0, 2.0]"
blue horizon,"(1.0, 1.5]","(1.0, 2.0]"
bluwaters 2,"(1.0, 1.5]","(1.0, 2.0]"
bluwaters 2,"(2.5, 3.0]","(1.0, 2.0]"
boathouse residences,"(0.0, 1.0]","(1.0, 2.0]"
boathouse residences,"(1.0, 1.5]","(1.0, 2.0]"
boathouse residences,"(1.5, 2.0]","(1.0, 2.0]"
boonview,"(1.0, 1.5]","(2.0, 3.0]"
botanic gardens view,"(1.5, 2.0]","(2.0, 3.0]"
botanika,"(1.0, 1.5]","(2.0, 3.0]"
botanika,"(1.5, 2.0]","(2.0, 3.0]"
botanique at bartley,"(0.0, 1.0]","(1.0, 2.0]"
botanique at bartley,"(1.0, 1.5]","(1.0, 2.0]"
botannia,"(1.0, 1.5]","(1.0, 2.0]"
boulevard 88,"(1.0, 1.5]","(3.0, 4.0]"
boulevard 88,"(1.5, 2.0]","(3.0, 4.0]"
boulevard 88,"(2.5, 3.0]","(4.0, 5.0]"
boulevard vue,"(4.0, 5.0]","(3.0, 4.0]"
boulevard vue,"(5.0, 15.0]","(4.0, 5.0]"
braddell view,"(1.5, 2.0]","(1.0, 2.0]"
breeze by the east,"(2.5, 3.0]","(1.0, 2.0]"
bristol lodge,"(0.0, 1.0]","(1.0, 2.0]"
brookvale drive,"(0.0, 1.0]","(2.0, 3.0]"
brookvale drive,"(1.0, 1.5]","(1.0, 2.0]"
buangkok crescent,"(0.0, 1.0]","(1.0, 2.0]"
buckley 18,"(1.0, 1.5]","(2.0, 3.0]"
buckley 18,"(1.5, 2.0]","(2.0, 3.0]"
buckley 18,"(2.0, 2.5]","(1.0, 2.0]"
buckley classique,"(1.0, 1.5]","(2.0, 3.0]"
buckley classique,"(3.0, 4.0]","(2.0, 3.0]"
bukit regency,"(4.0, 5.0]","(1.0, 2.0]"
bukit timah road,"(0.0, 1.0]","(2.0, 3.0]"
bukit timah road,"(1.5, 2.0]","(2.0, 3.0]"
bullion park,"(0.0, 1.0]","(1.0, 2.0]"
burlington square,"(0.0, 1.0]","(1.0, 2.0]"
burlington square,"(1.5, 2.0]","(1.0, 2.0]"
butterworth 8,"(1.0, 1.5]","(1.0, 2.0]"
cairnhill 16,"(0.0, 1.0]","(3.0, 4.0]"
cairnhill 16,"(1.0, 1.5]","(3.0, 4.0]"
cairnhill 16,"(1.5, 2.0]","(3.0, 4.0]"
cairnhill astoria,"(3.0, 4.0]","(1.0, 2.0]"
cairnhill crest,"(0.0, 1.0]","(2.0, 3.0]"
cairnhill crest,"(1.0, 1.5]","(2.0, 3.0]"
cairnhill crest,"(1.5, 2.0]","(2.0, 3.0]"
cairnhill crest,"(2.5, 3.0]","(2.0, 3.0]"
cairnhill nine,"(0.0, 1.0]","(3.0, 4.0]"
cairnhill nine,"(1.0, 1.5]","(2.0, 3.0]"
cairnhill nine,"(1.5, 2.0]","(3.0, 4.0]"
cairnhill plaza,"(2.0, 2.5]","(1.0, 2.0]"
cairnhill plaza,"(2.5, 3.0]","(2.0, 3.0]"
cairnhill plaza,"(3.0, 4.0]","(2.0, 3.0]"
cairnhill residences,"(1.0, 1.5]","(3.0, 4.0]"
cairnhill road,"(1.0, 1.5]","(3.0, 4.0]"
calarasi,"(1.0, 1.5]","(1.0, 2.0]"
cambio suites,"(0.0, 1.0]","(1.0, 2.0]"
camelodge,"(1.5, 2.0]","(1.0, 2.0]"
camelot by-the-water,"(2.0, 2.5]","(1.0, 2.0]"
canberlin lodge,"(1.0, 1.5]","(1.0, 2.0]"
canberra residences,"(0.0, 1.0]","(1.0, 2.0]"
canberra residences,"(1.0, 1.5]","(1.0, 2.0]"
canberra residences,"(1.5, 2.0]","(1.0, 2.0]"
canberra street,"(0.0, 1.0]","(1.0, 2.0]"
canberra street,"(1.0, 1.5]","(1.0, 2.0]"
canninghill piers,"(0.0, 1.0]","(3.0, 4.0]"
canninghill piers,"(1.0, 1.5]","(2.0, 3.0]"
canninghill piers,"(1.5, 2.0]","(3.0, 4.0]"
canninghill piers,"(2.5, 3.0]","(3.0, 4.0]"
canninghill piers,"(3.0, 4.0]","(4.0, 5.0]"
canninghill piers,"(5.0, 15.0]","(4.0, 5.0]"
carabelle,"(0.0, 1.0]","(1.0, 2.0]"
carabelle,"(1.0, 1.5]","(1.0, 2.0]"
cardiff residence,"(0.0, 1.0]","(1.0, 2.0]"
cardiff residence,"(1.0, 1.5]","(1.0, 2.0]"
cardiff residence,"(1.5, 2.0]","(1.0, 2.0]"
cardiff residence,"(2.0, 2.5]","(1.0, 2.0]"
caribbean at keppel bay,"(0.0, 1.0]","(1.0, 2.0]"
caribbean at keppel bay,"(1.0, 1.5]","(1.0, 2.0]"
caribbean at keppel bay,"(1.5, 2.0]","(1.0, 2.0]"
caribbean at keppel bay,"(2.0, 2.5]","(1.0, 2.0]"
caribbean at keppel bay,"(2.5, 3.0]","(1.0, 2.0]"
caribbean at keppel bay,"(3.0, 4.0]","(1.0, 2.0]"
caribbean at keppel bay,"(4.0, 5.0]","(0.0, 1.0]"
caribbean at keppel bay,"(5.0, 15.0]","(1.0, 2.0]"
carissa park condominium,"(0.0, 1.0]","(1.0, 2.0]"
carissa park condominium,"(1.0, 1.5]","(1.0, 2.0]"
carlyx green,"(0.0, 1.0]","(1.0, 2.0]"
carpmael thirty-eight,"(1.0, 1.5]","(2.0, 3.0]"
casa aerata,"(0.0, 1.0]","(1.0, 2.0]"
casa al mare,"(0.0, 1.0]","(1.0, 2.0]"
casa al mare,"(1.0, 1.5]","(1.0, 2.0]"
casa cambio,"(0.0, 1.0]","(1.0, 2.0]"
casa feliz,"(1.0, 1.5]","(1.0, 2.0]"
casa fortuna,"(0.0, 1.0]","(1.0, 2.0]"
casa fortuna,"(1.0, 1.5]","(1.0, 2.0]"
casa irrawaddy,"(1.0, 1.5]","(1.0, 2.0]"
casa merah,"(0.0, 1.0]","(1.0, 2.0]"
casa merah,"(1.0, 1.5]","(1.0, 2.0]"
casa merah,"(1.5, 2.0]","(1.0, 2.0]"
casa pasir ris,"(1.0, 1.5]","(1.0, 2.0]"
casa pasir ris,"(2.0, 2.5]","(1.0, 2.0]"
casa riviera,"(3.0, 4.0]","(1.0, 2.0]"
casa rosa,"(1.0, 1.5]","(1.0, 2.0]"
casa rosa,"(1.5, 2.0]","(1.0, 2.0]"
casabella,"(0.0, 1.0]","(2.0, 3.0]"
casablanca,"(1.0, 1.5]","(1.0, 2.0]"
casafina,"(1.0, 1.5]","(1.0, 2.0]"
cascadale,"(1.5, 2.0]","(1.0, 2.0]"
casero @ dunman,"(0.0, 1.0]","(1.0, 2.0]"
casero @ dunman,"(2.5, 3.0]","(1.0, 2.0]"
cashew road,"(0.0, 1.0]","(1.0, 2.0]"
caspian,"(0.0, 1.0]","(1.0, 2.0]"
caspian,"(1.0, 1.5]","(1.0, 2.0]"
caspian,"(1.5, 2.0]","(1.0, 2.0]"
cassia edge,"(0.0, 1.0]","(1.0, 2.0]"
cassia edge,"(1.0, 1.5]","(1.0, 2.0]"
castle green,"(0.0, 1.0]","(1.0, 2.0]"
castle green,"(1.0, 1.5]","(0.0, 1.0]"
casuarina cove,"(1.0, 1.5]","(1.0, 2.0]"
cavan suites,"(0.0, 1.0]","(1.0, 2.0]"
cavenagh gardens,"(1.0, 1.5]","(1.0, 2.0]"
cavenagh gardens,"(1.5, 2.0]","(1.0, 2.0]"
cavendish park,"(0.0, 1.0]","(1.0, 2.0]"
cavendish park,"(1.0, 1.5]","(1.0, 2.0]"
centennia suites,"(1.5, 2.0]","(3.0, 4.0]"
centra heights,"(0.0, 1.0]","(1.0, 2.0]"
centra loft,"(0.0, 1.0]","(1.0, 2.0]"
centra residence,"(0.0, 1.0]","(1.0, 2.0]"
centra studios,"(0.0, 1.0]","(2.0, 3.0]"
central green condominium,"(1.0, 1.5]","(1.0, 2.0]"
central green condominium,"(1.5, 2.0]","(1.0, 2.0]"
central grove,"(1.0, 1.5]","(1.0, 2.0]"
central imperial,"(0.0, 1.0]","(1.0, 2.0]"
centro residences,"(0.0, 1.0]","(2.0, 3.0]"
centro residences,"(1.0, 1.5]","(2.0, 3.0]"
changi court,"(0.0, 1.0]","(1.0, 2.0]"
changi court,"(1.0, 1.5]","(1.0, 2.0]"
changi green,"(0.0, 1.0]","(1.0, 2.0]"
changi green,"(1.0, 1.5]","(1.0, 2.0]"
changi rise condominium,"(1.0, 1.5]","(1.0, 2.0]"
changi road,"(1.0, 1.5]","(1.0, 2.0]"
chantilly rise,"(1.0, 1.5]","(1.0, 2.0]"
chapel court,"(1.5, 2.0]","(1.0, 2.0]"
charlton corner,"(1.0, 1.5]","(1.0, 2.0]"
chateau le fame,"(1.0, 1.5]","(1.0, 2.0]"
chelsea gardens,"(1.5, 2.0]","(2.0, 3.0]"
chelsea lodge,"(0.0, 1.0]","(1.0, 2.0]"
chelsea lodge,"(1.0, 1.5]","(1.0, 2.0]"
cherry gardens,"(1.0, 1.5]","(1.0, 2.0]"
chestervale,"(1.0, 1.5]","(0.0, 1.0]"
chestnut crescent,"(1.0, 1.5]","(1.0, 2.0]"
chiltern park,"(0.0, 1.0]","(1.0, 2.0]"
chiltern park,"(1.0, 1.5]","(1.0, 2.0]"
chuan park,"(1.0, 1.5]","(1.0, 2.0]"
citigate residence,"(0.0, 1.0]","(1.0, 2.0]"
city edge,"(0.0, 1.0]","(2.0, 3.0]"
city gate,"(0.0, 1.0]","(2.0, 3.0]"
city gate,"(1.0, 1.5]","(1.0, 2.0]"
city loft,"(0.0, 1.0]","(1.0, 2.0]"
city regency,"(0.0, 1.0]","(1.0, 2.0]"
city square residences,"(0.0, 1.0]","(1.0, 2.0]"
city square residences,"(1.0, 1.5]","(2.0, 3.0]"
city square residences,"(1.5, 2.0]","(2.0, 3.0]"
city studios,"(0.0, 1.0]","(1.0, 2.0]"
city suites,"(0.0, 1.0]","(2.0, 3.0]"
citylights,"(0.0, 1.0]","(1.0, 2.0]"
citylights,"(1.0, 1.5]","(1.0, 2.0]"
citylights,"(1.5, 2.0]","(1.0, 2.0]"
citylights,"(3.0, 4.0]","(1.0, 2.0]"
cityvista residences,"(2.0, 2.5]","(2.0, 3.0]"
cityvista residences,"(2.5, 3.0]","(2.0, 3.0]"
claremont,"(1.5, 2.0]","(2.0, 3.0]"
clarke quay,"(0.0, 1.0]","(3.0, 4.0]"
clarke quay,"(1.5, 2.0]","(2.0, 3.0]"
clarke quay,"(2.5, 3.0]","(3.0, 4.0]"
clarke quay,"(3.0, 4.0]","(3.0, 4.0]"
clavon,"(0.0, 1.0]","(1.0, 2.0]"
clavon,"(1.0, 1.5]","(1.0, 2.0]"
clavon,"(1.5, 2.0]","(1.0, 2.0]"
claymore plaza,"(0.0, 1.0]","(2.0, 3.0]"
clementi park,"(0.0, 1.0]","(1.0, 2.0]"
clementi park,"(1.0, 1.5]","(1.0, 2.0]"
clementi park,"(2.0, 2.5]","(1.0, 2.0]"
clementi park,"(5.0, 15.0]","(1.0, 2.0]"
clementiwoods condominium,"(0.0, 1.0]","(1.0, 2.0]"
clementiwoods condominium,"(1.0, 1.5]","(1.0, 2.0]"
clementiwoods condominium,"(2.5, 3.0]","(1.0, 2.0]"
cliften,"(2.0, 2.5]","(2.0, 3.0]"
cliveden at grange,"(2.0, 2.5]","(2.0, 3.0]"
cliveden at grange,"(2.5, 3.0]","(3.0, 4.0]"
cliveden at grange,"(5.0, 15.0]","(4.0, 5.0]"
clover by the park,"(2.0, 2.5]","(1.0, 2.0]"
cluny park residence,"(0.0, 1.0]","(3.0, 4.0]"
cluny park residence,"(1.0, 1.5]","(2.0, 3.0]"
cluny park residence,"(1.5, 2.0]","(3.0, 4.0]"
clydes residence,"(0.0, 1.0]","(1.0, 2.0]"
coastal breeze residences,"(1.5, 2.0]","(0.0, 1.0]"
coastal breeze residences,"(2.0, 2.5]","(0.0, 1.0]"
coastal view residences,"(0.0, 1.0]","(1.0, 2.0]"
coastline residences,"(0.0, 1.0]","(2.0, 3.0]"
